Days,Rochester_N1,Rochester_N2,Rochester_SARS,Rochester_Cases,Stewartville_SARS,Stewartville_Cases,Byron_SARS,Byron_Cases
2/10/2021,10,12,10.90,17,,0,,2
2/11/2021,,,,9,,1,,3
2/12/2021,,,,23,,1,,2
2/13/2021,,,,18,,1,,1
2/14/2021,,,,13,,0,,0
2/15/2021,,,,19,,6,,1
2/16/2021,,,,17,,3,,6
2/17/2021,,,,23,,6,,1
2/18/2021,,,,25,,4,,0
2/19/2021,,,,9,,4,,0
2/20/2021,,,,8,,2,,0
2/21/2021,,,,8,,1,,0
2/22/2021,,,,15,,4,,0
2/23/2021,4,3,3.46,14,,2,,1
2/24/2021,,,,16,,2,,1
2/25/2021,,,,14,,2,,1
2/26/2021,,,,8,,3,,0
2/27/2021,,,,9,,0,,0
2/28/2021,1,2,1.39,10,,1,,0
3/1/2021,,,,14,,2,,2
3/2/2021,2,2,2.03,11,,1,,1
3/3/2021,,,,14,,1,,1
3/4/2021,,,,14,,5,,0
3/5/2021,,,,10,,1,,0
3/6/2021,,,,14,,0,,0
3/7/2021,8,8,7.75,7,,0,,3
3/8/2021,,,,16,,2,,3
3/9/2021,17,17,17.89,14,,1,,3
3/10/2021,,,,14,,1,,4
3/11/2021,,,,20,,2,,0
3/12/2021,,,,18,,3,,0
3/13/2021,,,,10,,0,,1
3/14/2021,5,5,4.70,6,,0,,1
3/15/2021,,,,21,,2,,0
3/16/2021,7,10,8.56,15,,1,,0
3/17/2021,,,,21,,6,,0
3/18/2021,,,,21,,0,,2
3/19/2021,,,,18,,1,,1
3/20/2021,,,,6,,0,,0
3/21/2021,6,6,5.96,12,,0,,0
3/22/2021,,,,16,,2,,0
3/23/2021,7,10,8.41,14,,2,,0
3/24/2021,,,,12,,0,,1
3/25/2021,,,,18,,2,,0
3/26/2021,,,,22,,1,,0
3/27/2021,,,,12,,0,,2
3/28/2021,9,10,9.11,11,,0,,2
3/29/2021,,,,14,,2,,1
3/30/2021,6,6,5.94,18,,2,,1
3/31/2021,,,,9,,1,,3
4/1/2021,,,,15,,1,,1
4/2/2021,,,,20,,0,,6
4/3/2021,,,,19,,1,,1
4/4/2021,12,7,10.51,11,,0,,0
4/5/2021,,,,24,,3,,4
4/6/2021,5,5,5.48,19,,4,,5
4/7/2021,,,,14,,3,,2
4/8/2021,,,,17,,2,,2
4/9/2021,,,,18,,4,,1
4/10/2021,,,,5,,2,,3
4/11/2021,21,20,20.75,5,,0,,3
4/12/2021,,,,22,,5,,10
4/13/2021,17,20,19.63,22,,2,,4
4/14/2021,,,,15,,1,,2
4/15/2021,,,,23,,5,,3
4/16/2021,,,,21,,4,,7
4/17/2021,,,,6,,0,,3
4/18/2021,8.00,9,8.64,6,,0,,3
4/19/2021,,,,25,,2,,3
4/20/2021,10,9,9.96,19,,2,,7
4/21/2021,,,,21,,0,,3
4/22/2021,,,,14,,1,,3
4/23/2021,,,,24,,0,,6
4/24/2021,,,,8,,0,,2
4/25/2021,1,1,1.02,9,,1,,3
4/26/2021,,,,23,,1,,3
4/27/2021,13,13,14.40,17,,1,,5
4/28/2021,,,,13,,2,,3
4/29/2021,,,,16,,4,,2
4/30/2021,,,,14,,1,,0
5/1/2021,,,,8,,0,,0
5/2/2021,,,,6,,1,,0
5/3/2021,4,4,4.48,16,,3,,3
5/4/2021,,,,13,,0,,2
5/5/2021,4,7,5.99,15,,0,,4
5/6/2021,,,,7,,0,,0
5/7/2021,,,,14,,2,,6
5/8/2021,,,,9,,0,,3
5/9/2021,2,2,2.03,5,,0,,2
